id,clean_content,class
19945260,trình thẩm_nổi sách đọc thể_loại sách đọc thử,positive
19936707,hàng tặng sách gập gãy bìa không lắm hàng ổn,positive
19922028,bìa sách trang_sách vết lỗi,positive
19944364,sách đẹp đóng_gói cẩn_thận nội đọc hơi câu_chuyện không hấp_dẫn lắm,positive
19910597,sách đẹp không lỗi phôn chữ giao hàng hẹn shipper thân_thiện,positive
19967002,dc tặng sách giấy đẹp,positive
19911749,ưng_ý sách đẹp tốt ủng_hộ,positive
19916759,giao hàng chóng sách,positive
19922029,shop đóng_gói cẩn_thận,positive
19957450,sách vừa_lòng bàn,positive
19962499,sách đóng_gói cẩn_thận nội,positive
19957433,nội không hấp_dẫn quảng_cáo,negative
19838053,giao hỏa_tốc chóng nội đọc bìa sách vết hình hơi khó_chịu xíu,positive
19885766,búp tác_phẩm văn_học tuyệt_vời cuộc_đời truyền lửa thế_hệ trẻ học_tập rèn_luyện gương,positive
19803041,sách bìa_mềm không bìa cứng không bọc sách không gấp hỏng sách thơm sạch đẹp,positive
19676177,sách bìa_mềm bìa cứng_sách trang không sự_thật nhá hơi buồn,positive
19775581,đọc xúc_động ấn nét dạo phí ship tiki đắt thành sách,positive
19960317,sách đọc chủ_tịch hồ chí_minh_tiki cẩn_thận đóng_gói sách thanks,positive
19826286,đọc h lượt đọc ngưỡng_mộ kính_trọng đình_bác,positive
19888762,sách cuộc_đời đường cứu bến cảnh rồng đọc,positive
19510659,sách lắm thời thơ_ấu niên_thiếu chủ_tịch hồ chí_minh viết vùng_đất nghệ_tĩnh thời_kỳ kháng_chiến chống thực_dân_pháp,positive
19968750,tuyệt_nói cuộc_đời bác_hồ trẻ,positive
19860147,sách không bỏ_qua ý_nghĩa,positive
19269308,sách mua chất_lượng giấy tốt_hành,positive
19776595,gói hàng cẩn_thận sách ấn nét hàng,positive
19947597,sách đẹp bìa cứng_chữ rõ_ràng nội đọc,positive
19886195,hàng đóng_gói kĩ nội_sách ngẫm,positive
19957590,chữ nội_hữu_ích không chiều sâu hời hợt,negative
19917707,nội_sách không nổi_bật,negative
19960004,đóng_gói cẩn_thận bì đẹp,positive
19623861,lý thuyết_trò_chơi khái_niệm ứng_dụng đời_sống lâu_r đọc chủ_đề học khái_niệm chương trò_chơi tổng không nash sản_phẩm tốt nội chất_lượng giấy hàng tiki ok,positive
19663826,tiki hàng đóng_gói ok sách đẹp không trầy_xước nội_dễ đi_sâu nghiên_cứu sâu game theory,positive
19642378,tiki càng_ngày_càng tệ giao hàng đứng đường hàng đường hẻm địa_chỉ rộng lấy_lý không hẻm rộng kêu không để_ý_thua sách hàng đua không dịch_vụ hàng tệ nốt bye bye never tiki again xóa app nhẹ máy tiki càng_ngày_càng lụn_bại,negative
19870759,sách mặc_dù cũ cũ khuyên đọc đời,positive
19875171,nội_sách hấp_dẫn ổn ổn_áp,positive
19652156,giao hàng hẹn sách bọc_kỹ bảo_quản tốt giá hợp_lý shop,positive
19781447,sách không giải_thích đầy_đủ lý_thuyết trò_chơi ví_dụ có_ích cấu_trúc nội_không rõ_ràng chỗ đọc không tác_giả truyền_tải thông_điệp,negative
19658719,đóng_gói kĩ_lưỡng chất_lượng sản_phẩm rõ_ràng giao hàng,positive
19666297,sách đóng_gói cẩn_thận_nhiên chất_lượng sách đóng_gói,negative
19965995,giao hàng tệ_nát sách sách tặng nát không dám tặng,negative
19702971,sách seller nội bàn_sách không hàng_không bao_gói cẩn_thận không móp méo,positive
19778548,sách quăn bìa giấy đóng hàng không vận_chuyển cố_ý đóng sách quăn,negative
19662138,sách hơi dơ giấy mỏng chữ_nổi bìa cầm lậu mạng,positive
19759470,đọc bình_luận bài_học,positive
19705723,đọc tạm không lắm đa_số lý_thuyết cũ chuyên đọc thể_loại chỗ dịch hơi,positive
19765022,đọc đầu giới_thiệu nội_sách nội_ấn đẹp chất_lượng giấy tốt,positive
19747743,chất_lượng sách tốt lỗi,negative
19789442,hình_ảnh tính_chất họa hàng nhé_nội,positive
19643403,hài_lòng sản_phẩm nội_dễ sách bìa sách sạch_bụi đóng_gói hoàn_hảo thân,positive
19915647,đọc ổn chất_lượng sách tốt,positive
9292667,đợt giá bìa mặc_dù giá rẻ chất_lượng nha sách hôm hàng tiki làm_việc,positive
3162807,sách đọc nghiền_ngẫm đôi đôi thấu sách đầu giường ng bậc phụ nuôi dạy thơ đg mục_tiêu hướng sách nha đọc cảm_nhận người_thân,positive
18623330,sách lắm nguyên siêu_ạaaaa,positive
9678978,thành_công giàu_có mục_tiêu rõ_ràng dũng_khí nhiệt_huyết đuổi mục_tiêu trích_dưỡng_tâm giàu_có dưỡng_thân nghèo_khổ,positive
9812077,nội sách bổ_ích câu_chuyện nêu thú_vị giấy chất_lượng tốt màu tuyệt_vời,positive
10061941,đọc nãy_sách nguyễn_anh vũ_mình thích đọc thản chút xíu_điểm trừ biên_tập dư lặp,positive
9388701,sách gặm_nhấm mưa_phùn gió nhẹ d,positive
9482659,hàng giao hài_lòng mẫu_mã chất_lượng giao bọc cẩn_thân shipper nhẹ_nhàng tận_tình,positive
19306838,kế_toán khô viết câu dí_dỏm bình_dân đứa không thích đọc sách đương_nhiên thích giúp tổng_quan tiết,positive
19705017,giao hàng đóng_gói cẩn_thận sách bọc cứng sách dấu_bộ quà tặng lành_nội đọc bước_đầu sách cảm_giác ưng bụng nội chấm,positive
19307007,học kế_toán dễ_thương nhóc chanh_tưởng chuyện_nít kiến_thức nặng_phết chủ_nghiệp không mấy này_nhiên tốt không,positive
19315830,quầy nhóc tiểu_học kế_toán sách viết hài_hước sách gói cẩn_thận,positive
19365058,dựa chanh_tác_giả mô_tả_tiết kế_toán cân_đối báo_cáo hoạt_động doanh_thấy lãi lỗ,positive
19345217,sách nội_dí dỏm đọc thông_quầy bé xíu biết_nhiêu kiến_thức hàng tầm tiếng ủng_hộ,positive
19881830,sách rạch bìa đóng_gói túi không hộp giấy vỏ không rạch,negative
19371402,bảng cân_đối kế_toán báo_cáo kết_quả hoạt_động báo_cáo lưu_chuyển tiền_tệ đọc sách nhức đầu đọc sách mấy quầy báo_cáo đời đọc sách kế_toán ghiền sách mục thực_hành quầy giấy chứng_nhận kiểm_cuối kì đầu_kì kiểm_tra đội_ngũ giver vn sách cực_kỳ hữu_ích giúp công_việc làm_ăn mà_còn giúp_ích bước_đầu_phục đọc báo_cáo tài_chính một_chút sạn thu_nhập thành đáp_án bảng chi_phí mục lương khấu dịch tiếng việt tái_bản giver sửa chút,positive
19446128,ui học chuyên_ngành kiểm_toán đọc đọc quyển lắm rcm cầu kế_toán đọc sách đẹp_họa rõ_ràng_văn hài_hước cute,positive
19767248,chủ kiểm_hàng kỹ trân_trọng sách bản_quyền lag sách đầu không hài_lòng mời ảnh,negative
19306911,thương_cực sách kiến_thức kế_toán kiên_thức doanh_cốt truyện thú_vị,positive
19843910,trình_bày câu đơn_giản nhộn món kế_toán trở_nên nuốt tập_xíu,positive
19306879,nhẹ_nhàng dí_dỏm chút dễ_thương cảm_nhận đọc quyển sách nỗi sợ bảng_biểu vơi bớt đôi_chút nội_sách gần_gũi đọc mớ dữ_liệu nuốt sách cầm_chắc đóng_gói cẩn_thận hàng hàng hài_lòng,positive
19384968,sách nội_khá đọc quầy dựa lồng_ghép thuật_ngữ kế_toán gần_gũi giá sách tạm ổn mẫu_mã xíu sách,positive
19359624,sách đơn_giản hình_dung thành_thạo báo_cáo tài_chính chủ_yếu nghiên_cứu hướng tiếp_cận nghề kế_toán tác_giả khảo,positive
19303469,quyển sách thú_vị kế_toán_tưởng kiến_thức ngành khô_khăn nuốt_ngờ đọc đầu cuốn_hút thú_vị sách giver gữi dị,positive
19340955,nhai đọc nội không sửa bình,positive
19329452,sách hữu_ích kế_toán tài_chính ngán_ngẩm khô đọc quyển sách hẳn học kế_toán trực_quan đọc,positive
19324151,sách kế_toán đọc trình_bày đơn_giản tình_huống sát sách đọc,positive
19580845,bổ_ích kiến_thức kế_toán kết_quả bảng cân_đối kế_toán trình_bày liền mạch trình_bày sách,positive
19936920,sách đóng_gói cẩn_thận đẹp giá rẻ giá nhà_sách mạng hài_lòng nội_lẫn hình_thức quyển sách,positive
19960340,bookcare sách chủ_yếu thích sẻ thầy_pháp hòa,positive
19929862,đóng_gói kỹ_sách bọc niêm_phong đẹp,positive
19921881,sách thầy_pháp hòa tuyển_chọn thuyết_giảng thầy suốt phật,positive
19927122,giao hàng sách đóng_gói kỹ nguyên_vẹn bọc_kiếng,positive
19963398,đóng_gói kỹ_càng sản_phẩm chất_lượng giá_cả cầu,positive
19921772,sách đẹp kèm hình_ảnh thích lắm,positive
19942707,sách nội_gãy gọn đơn_giản giàu ý_nghĩa thiết_thực đọc,positive
19931799,tốt bổ_ích giới_thiệu,positive
19922054,đóng_gói cẩn_thận sách gốc hài_lòng spham,positive
19948027,giao hàng sách đẹp_nội,positive
19932201,giao hàng lịch_sự đóng_gói cẩn_thận,positive
19956536,quyển sách nội_dễ,positive
19930193,giao hàng đóng_gói sách cẩn_thận,positive
19929563,tranh bìa_hơi xấu không chiều sâu,positive
19961121,sách đóng_gói cẩn_thận,positive
19768960,nội_sách không bàn khâu đóng_gói tệ_mình trông_ngóng hàng tuần hàng bóc góc nhăn hình_r đọc hàng tiki sửa_đổi,negative
19102887,sách dựa nghiên_cứu hướng_dẫn đọc lôi_cuốn tiết thực_hành hiệu_quả đổi thói_bản_thân đọc,positive
19936814,tiki thần_tốc chiều chất_lượng sản_phẩm bàn giá_cả nền_tảng một_chút đổi dịch_vụ tuyệt_vời reviews mua đọc nội_dung vọng kiến_thức sách hữu_ích,positive
19904732,hôm lướt lượt sách giỏ hàng tiki ô kệ sách quyển hoàn_thiện xây_dựng thói_tích_cực_thể cú click mục ưu_tiên đọc cầm tận_dụng thời áp_dụng ho thích tác_giả bố_cục dẫn_dắt mở_đầu đên chương câu_chuyện trải_nghiệm tập_thể chương tóm_tắt nội_dung ngắn đầy_đủ tận_dụng trắng tóm_tắt góc bài_học rút tiện nè đánh_dấu dễ_dàng thói lặp_đi_lặp_lại nguyên_tử thói_nguyên_tử nếp sống thói mà_còn khởi_nguồn sức_mạnh hiệu_quả ngạc cải_thiện trì hiệu_quả ví_như kết_quả tốt gấp thói kết_quả không lập_tức trải thời cue tín_hiệu craving khao_khát thèm response phản_hồi reward phần_thưởng ví_dụ bánh tín_hiệu thèm ăn_cơn thèm oánh_chén phản_hồi ngon_miệng thỏa mãn_cơn thèm vòng_lặp ví_dụ hiện màn_hình quyết_định thỏa_mãn vòng_lặp tự_động quên hói trở_nên bảng thói phương_pháp chồng lớp thói_quen tác_giả nêu rõ_ràng sách template sẵn tập khóa thói trở_nên áp_dụng công_thức chồng lớp thói_kết_hợp bọc cám_dỗ mượn sức_mạnh trở_nên hấp_dẫn trì đường câu một_mình thói trở_nên chia mục_tiêu nguyên_tắc phút thiết_kế môi_trường sống kiến_trúc_sư đời không thói_tạo cảm_giác áp_dụng công_cụ dấu_thói nhỏ_nhặt dõi tiến_bộ cảm_giác thỏa_mãn đơn_giản dấu_tick hoàn_thành cà tập phương_pháp poromodo phá_bỏ thói_xấu đảo_ngược nguyên_tắc nêu hình_thành thói tốt trở_nên tự_động rơi rơi lặp vô_thức sót bỏ_qua rập_khuôn bứt_phá kết_hợp hình_thức phản_tư thói_quen nâng_cấp thói_quen chấp_nhận thử_thách cốt_lõi tiết nguyên_tắc tắc đọc sách hihi anw sách đọc vỡ cực_kỳ nè,positive
19883689,sách tuyệt_vời đổi thời chuyển_biến vô_cùng đổi hướng chỉ_độ đường cũ câu_chuyện nỗ_lực đổi tiếc không đọc sách,positive
19905516,thói bắt tín_hiệu thèm phần_thưởng thỏa_mãn trì thói tốt phần_thưởng thỏa_mãn xảy hạn_chế thói_xấu phần_thưởng thỏa_mãn xảy ví_dụ film nhắn_tin lướt giúp thỏa mãn tức_thời xảy ngưng điện_thoại phần_thưởng ngưng điện_thoại ví_dụ không điện_thoại bỏ_viên sỏi hộp không điện_thoại tháy viên sỏi hộp không điện_thoại sỏi thỏa mãn tác_giả james_clear sẻ hành_vi thói độc_giả thông_sự nổ_lực và_nghiệm,positive
16812120,nội_sách đơn_giản áp_dụng cuộc_đời định_hình thói đọc sách xây_dựng thói tốt cuộc_đời soạn cần_thiết sách đọc,positive
19197061,quyển tác_giả viết đọc dịch dịch thuần_việt chất_lượng giấy tốt_điểm sách tóm_tắt chương,positive
19366053,đóng gói sách nguyên không móp méo giao hàng nội_sách recommend không sách vn dịch tệ dịch câu chữ không ý_nghĩa lủng_củng_mình đọc nổi phí tiền sách nổi_tiếng đọc mục_lục câu chữ kì_kì đọc chương en sánh trời nổi_phương nam book kiểm_duyệt nội phát_hành không trải_nghiệm đáng_giá không mua sách phương nam book phát_hành,negative
19313822,quyển bổ_ích cải_thiện lối sống nội tắc thực_hành hình_thành thói_tốt hiệu_quả giúp hình_thành thói tốt mà_còn nêu phương_pháp từ_bỏ thói xấu giúp hormone_dopamine ảnh_hưởng thói học chương_trình bài_luận thói trích đoạn á_hihi,positive
19859841,tiki sách không kiểm_kỹ cầm đac rách_bìa shipper đại_vô dọng gãy góc sách tiki_dạo chất_lượng,negative
18019529,sách không đầu_tư gói_ghém cẩn_thận lắm sơ_sài bìa mực màu bìa trắng mực đen không màu cảm_giác sách giả thất_vọng,negative
19122955,đọc mấy sách self tính_chất đọc không tác_dụng lắm tác_dụng định_trì hoãn_thói sách bí_quyết_sách không kiểu đọc đa_phần căn_bản đọc động_lực trì_thói tốt_ý,positive
19601494,sách nội_chuẩn giấy lỗi nhăn xần_xì sách không trưng_bày học_hỏi không nội tuyệt_vời nha nghiện mô_hình nghiện sách hữu_ích,positive
19906810,đóng_gói lủng_sách vạt góc,negative
18930267,sách mới_tinh nguyên seal tiki hàng chóng review kênh quyết_định mua tầm thói_tốt quyết_tâm thực_hành nghiêm_chỉnh điển_hình dí vô nè hy_vọng đọc sách thích đọc sách,positive
19626165,không kiểm_hàng sách chỗ nhàu không claim đọc quyển sách phát_hiện hàng gửi sách rách thế_này,negative
19414451,sách đọc đọc sách thói rèn_luyện thói_quen sách quyển mạch_lạc lôi_cuốn không nhàm_chán đọc trừ dịch sát_nghĩa,positive
18308504,sách thói_quen đọc kiến_thức hữu_ích đổi thói cũ hình_thành thói thông_bước đơn_giản thói rõ_ràng hấp_dẫn dễ_dàng thỏa_mãn ý_tưởng sách đổi thói đổi chú_trọng tập hệ_thống mục_tiêu cân nặng_lý_tưởng chẳng_hạn,positive
17855065,nội đọc ví_dụ chữ hình_ảnh họa chất_lượng giấy mong nhà_xuất_bản đọc dòng ban_đầu giới_thiệu sách nhà_sách đọc thử đọc tầm sách giá mạng sách rẻ mua chất_lượng giấy không,positive
19740858,tiệp hóa namiya kết_nối quá_khứ kết_nối thân_phận cốt nhẹ_nhàng hơi hướng kỳ_ảo giả_tưởng đong_đày cảm_xúc không giồng tác_phẩm thám_tội_phạm màu_sắc quan_đọng tâm_trí đọc tác_phẩm tốt_đẹp kỳ_diệu bản_chất_thiện lương,positive
19937784,gửi lưỡng_lự quyển sách yêu_sách lười review sách online thế_này kỳ_diệu tiệm tạp_hóa namiya ngoại_lệ khép giấy mắt rưng_rưng dẫn_dắt câu_chuyện tài_tình higashino_keigo tác_phẩm trải kiếp sống không tự_nhiên đời liên_kết đẹp_đẽ thần quyển sách cảm_xúc kỳ_diệu đọc quyển sách biết_ơn,positive
19596485,tiểu_thuyết cuốn_hút tưởng câu_chuyện rời_rạc nửa lờ_mờ liên_kết liên_kết chặt_chẽ logic kỳ_diệu tiệm tạp_hóa namiya chuỗi câu_chuyện nhân_văn ấm_áp_review một_chút sách cảm_nhận cá_nhân_xíu đầu không review đơn_giản bìa sách giở bìa sách giới_thiệu tác_giả chuyên viết tiểu_thuyết thám_mình nhầm tiểu_thuyết thám_hông hông thích tiểu_thuyết_thám đọc thể_loại thui tác_giả chuyên thể_loại thứ_logic không_tưởng sách ấn_tượng,positive
19861536,giao hàng siêu bọc cẩn_thận nguyên nỡ_bóc cày thick nội đọc đơn_giản nhẹ_nhàng không kịch_tính hút đọc,positive
19189685,kỳ_diệu tiệm tạp_hóa namiya tổng_cộng_trang đọc ước cầm quyển sách đọc sợ đầu đọc_chương tưởng không không_tưởng tình_tiết truyện mắt_xích logic sách rấtt_nhân_văn ý_nghĩa tí hài_hước trộm nhắc nhân_quả lối rấtt đọc một_mạch tối quyển sách đọc,positive
19968487,gu thích câu_chuyện yếu_tố viễn_tưởng đan mạch thống_nhất tâm_sự thắc_mắc cuộc_sống nhân_vật câu_chuyện khơi ngẫm đọc,positive
19700129,sách đẹp_bì ổn buồn không tặng bookmark review cuồn quyết_định đọc giao_hành cực đóng_gói chống sốc cẩn_thận sách không móp_méo,positive
17836392,sách mới_toanh không quăn góc hàng đọc keigo mê lối hành_văn sâu_sắc súc_tích hút đọc đọc hết_mình quyết_định đọc thử mong trải_nghiệm đọc tốt kì_vọng,positive
19428519,đọc nội_dung truyện khởi_đầu thú_vị nhân_vật giải_quyết hiện_tượng kì_lạ câu_chuyện nhân_vật đan quá_khứ kết_thúc trọn_vẹn cảm_giác hài_lòng kết_truyện lồng_ghép thông_điệp nhân_văn thư thỏa_mãn có_lẽ đoạn đầu kịch_tính chủ_yếu truyện hơi hụt_hẫng chút truyện,positive
16800724,đóng_gói sơ_sài hộp không chống sốc gáy sách độn không chỉn_chu dính giấy thừa_dư không ưng đóng_gói khắc_phục sách không nhòe chữ màu bìa đẹp,positive
18693287,hàng unbox sách không bọc sơ_sài tầm_giá ổn nội đọc sách vô_cùng cảm_xúc chương p s không hề thất_vọng haha,positive
19834166,tiki giao_tiki không xưa không hi_tiki,positive
19531084,sách đọc rút đọc sách không tự_phát tự_động khuyên tưởng đôi tâm_sự tìm_kiếm đồng_cảm lắng btw tiệm tạp_hóa namiya ah,positive
13174107,hơi thất_vọng_xíu sách không seal không bọc chống sốc đằng hộp hộp bóp_méo sách chỗ cầm quyển sách cảm_giác cong_nội hàng chóng,positive
12672323,sr không đem cảm_nhận sách thông_cảm tình_hình dịch đl sg vận_chuyển dồn_dập đơn hàng không vọng hộp ngắn nguyên_vẹn sách bọc chặng đường kết_quả hàng sách dập gãy mép bụi thùng giấy phủ sách không bọc lớp mỏng toàn hơi cũ buồn hàng tiki khắc_phục khuyết_điểm,negative
19773250,sách đóng_gói hơi chán không bọc chống sốc nma sách không chóc trầy_xước,positive
19717511,sách đọc review mạng nhẹ_nhàng chữa lành_tâm_hồn đợt không thời tiếng đọc phức_tạp nội câu trả_lời câu sẵn khuyên khuyên vô_hình cú huých đôi ngược_lại khuyên nhiều_chuyện tìm_kiếm giải_quyết giải_thích ngành nguyên_nhân rút cục mãi chỗ thực_chẳng lựa_chọn sai dữ_kiện và_nghiệm kiểm_soát kết_quả lựa_chọn,positive
18735595,kỳ_diệu tiệm tạp_hóa namiya review tò_mò quyển sách nhức chấm đọc chương thú_vị nhỏ_nhặt kiểu đọc đợi nửa_chương hơi chán nhạc_sĩ hàng cá kết_cuta sốc nổi đơ sâu_chuỗi toàn_bộ đọc đọc sợ không giỏi_văn không giỏi viết cảm_nhận quyển đọc lắm rùi đọc đọc nốt,positive
18631074,giao hàng bọc sách kỹ mắn không móp_rách nội nhận_xét nới thời đọc rẻ đấy khảo_kỹ sách không mác seller mua đọc,positive
19312282,kết_nối quá_khứ tương_lai đường chăm_chỉ nỗ_lực hạnh_phúc mk đọc sách kiểu_hoàng không kiểu đọc kì_diệu sợi liên_kết giúp thẳng thấu quyết_định cuộc_đời mk nhân_vật chương tài_tình truyện nhân_văn hướng ánh_sáng thiện đích ánh mắt lấp_lánh đọc,positive
19452912,trading đóng_gói tệ đứa yêu_sách sách df cực_kì khí đầu gói đơn_sách lớp mỏng dính hộp quăng miếng không tác_dụng gói hàng gói hàng tâm bực_mình đấy,negative
19806937,đa_số sách truyền cảm_hứng bts bts kim_nam joon_trưởng giúp động_lực đọc sách tiki sách rẻ hãng sách tiki review kĩ_từ độc_giả,positive
16979365,chê_gói hàng hàng không hư tẹo nèo hơi sơ_sài không bọc chống xóc sách hộp rewiew sách jhas healing viết kiểu đọc không chán thật_sư khám_phá nỗi đau yêu_thương,positive
12559756,lấp hạnh_phúc vết nứt tim ủi chữa_lành vỡ trái câu_chuyện vẻ nghịch_ngợm bé zezé kết_thúc nỗi đau quý_giá đời đọc tiểu_thuyết hẳn đau_xót thương_cảm bé tuổi_thơ rạn vỡ mỉm cười yêu_thương sống sâu thẳm suốt tiểu_thuyết đối_xử rất_đỗi dịu_dàng yêu_thương trìu_mến khép sách trái thổn_thức nỗi buồn vương_vấn buồn mất_mát yêu_thương buồn trưởng_thành nỗi đau trưởng_thành không truyện cảm_động đau_đớn ngập_tràn tình_yêu_thương tiki,positive
18368714,sách đọc tình_yêu_thương mất_mát gợi_ý cười trò nghịch_ngợm quái_trí tưởng_tượng tuyệt_vời ước_mơ trẻ zezé xót đánh_đập đau_đớn yêu lần_lượt tiếc_nuối đứa trẻ hồn_nhiên mơ mộng trẻ không trở_lại sách lối viết nhẹ_nhàng tiếp_cận độc_giả lứa cảm_xúc đem mạnh_mẽ vô_cùng tiki nhã_nam chiến_dịch dọn_lý hạ quyết_tâm rước ẻm đem sách tuyệt_vời đồng_tiền bát gạo,positive
19622803,sách đẹp cứng_cáp giao hàng không sách tiki hài_lòng lắm giao hàng siêu sách kịp thẩm_nội,positive
19902701,cam_ngọt tác_phẩm văn_học cảm_xúc hành_trình trưởng_thành nhân_vật biến_cố cuộc_sống sách gợi_mở ngẫm đình_tình lựa_chọn hoàn_cảnh sách đọc văn_học mà_còn bài_học sâu_sắc,positive
19704431,đọc cảm_nhận nội câu_chuyện đứa trẻ nghèo bắt bắt_trải người_lớn chịu_đựng đọc khúc đầu không tiết cười đọc chương tốn không nước_mắt đọc thử hàng sách không hư_góc sách không siu mất_đồ kẹp sách hơi thất_vọng_xíu ps_hình đọc sách chụp hơi bất_ổn xíu,positive
19682991,nội vô_cùng hấp_dẫn cảm_động bé zeze_truyện tuổi_thơ đắng thương_cả thể_xác lẫn thần phân_đoạn xúc_động sâu_sắc không cầm nước_mắt sách đọc,positive
19343799,sách ngắn đọc đọc đọc đầu không hào_hứng lắm câu_chuyện nghèo_khổ đình_cậu bé zezé câu_chuyện tác_giả tiết cuộc_sống tràn_đầy sắc_màu đoạn kết hơi hụt_hẫng diễn kết_thúc câu_chuyện không nuối_tiếc tác_phẩm yêu thú_vị cuộc_sống trân_trọng giản_dị dặn đối_xử tốt,positive
19292154,tony parsons sách ivan turgenev thất_vọng đơn chấp_nhận không đổi nhắc đơn nhầm không làm_ăn kiểu quà tặng không không sách báo không,negative
18392687,lắm đọc cảm_xúc lẫn_lộn lắm í phẫn_nộ đau_xót thương_niềm nỗi buồn luân_phiên hiện_hữu_tâm_trí ẩn_sâu bài_học vô_cùng ý_nghĩ đọc cuộc_sống,positive
14069617,bìa cực xinh_hàng sách không nhăn góc gãy cạnh bẩn nổi không nhận_xét nội chỉ_sẻ cảm_nhận đọc nửa đầu buồn_cười vừa_giận trò nghịch_ngợm bé ngưỡng_mộ tài_năng yêu_quý dễ_thương nửa khóc sướt_mướt mk_giận cuộc_đời đối_xử bất_công bé đời chết cuộc_sống trải thuở bé hành đường đời có_mặt tích_cực thương tiếc tuổi_thơ tươi_đẹp hồn_nhiên giết chết cực_kì khuyên mua sách câu_chuyện zeze cò chất_chứa câu_chuyện tầng ý_nghĩa,positive
19772634,quyển sách khiên đọc hơi quyền sách_nội truyện người_lớn í quán cà_phê đọc nửa khóc sợ tưởng,positive
19856595,quyển sách nước_mắt đừng review không sách sách cực_kỳ câu_chuyện hết_sức ý_nghĩa cảm_động đọc thổn_thức,positive
13944789,hích sách ổn_áp ghê đợt sách quăng góc trầy bìa_la không đầu chăm_sóc khách_hàng tiki tốt sách tiki trading thất_vọng tràn trề mong_tiki nhã nam cải_thiện,negative
18101671,đọc liền mạch truyện câu_chuyện bé zeze trưởng_thành bé trò nghịch_ngợm quái bôi nến lên_đường đường ngã rắn giả dọa đường đốt hàng_rào hàng_xóm cắt dây phơi hàng_xóm đốt võng vô_cùng thông trí tưởng_tượng phú_cậu đọc trường không dạy ngỗ_nghịch yêu_thương trìu_mến chị_gái glo luis quỷ không đời đánh_đập hành_hạ dối cô_giáo bé trái vàng ario nhạc chú_sẻ mắn vị thánh_tí_hon bồ_cậu thân tiếng cười sảng_khoái zeze bé_nhỏ trải đau_đớn thể_xác lẫn thần đáng_ra bé không giáng_hụt hẫng thất_vọng đôi giày trống không không quà đôi mắt đau_đớn ám_ảnh tổn_thương câu trẻ_thơ nỗi thất_vọng xé cầu kỳ_công cố_gắng trận đòn thừa sống chết đánh ngất vĩnh_viễn chết đau_đớn bồ yêu_thương tàu cán_khép truyện hoài zeze_mong đứa trẻ yêu thuwong thấu_hiểu sẻ hạnh_phúc trưởng_thành không dứt ám_thị người_lớn mắng_nhiếc,positive
